City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Kefamenanu,ID,-9.4467,124.4781,63.36,59,5,3.47,clear sky
190,Te Anau,NZ,-45.4167,167.7167,38.88,93,42,1.01,scattered clouds
191,Clyde River,CA,70.4692,-68.5914,39.43,81,75,24.16,broken clouds
192,Gornopravdinsk,RU,60.05,69.9,55.17,90,54,4.41,broken clouds
193,Longyan,CN,25.1072,117.0225,73.17,95,31,3.33,scattered clouds
194,Batagay,RU,67.6333,134.6333,65.77,48,100,1.61,overcast clouds
195,Orebro,SE,59.2741,15.2066,59.18,77,5,3.44,clear sky
196,Rokytne,UA,51.2796,27.214,60.01,81,5,3.49,clear sky
197,Saint-Philippe,RE,-21.3585,55.7679,67.59,72,33,7.67,scattered clouds
198,Pogar,RU,52.554,33.2591,65.1,66,94,7.56,overcast clouds
199,Kapaa,US,22.0752,-159.319,80.19,71,26,4.0,light rain
200,Griffith,US,41.5284,-87.4237,91.06,56,40,5.01,scattered clouds
201,Champerico,GT,14.3,-91.9167,93.76,71,32,9.4,scattered clouds
202,Bengkulu,ID,-3.8004,102.2655,74.89,85,57,3.67,broken clouds
203,Da Nang,VN,16.0678,108.2208,86.05,54,75,2.3,broken clouds
204,Xuanzhou,CN,30.9525,118.7553,73.63,96,23,7.72,moderate rain
205,Yaan,NG,7.3833,8.5667,72.18,96,100,4.7,light rain
206,Liverpool,GB,53.4106,-2.9779,68.09,71,0,5.99,clear sky
207,Kilindoni,TZ,-7.9139,39.6668,76.77,74,5,19.75,clear sky
208,Vestmanna,FO,62.1564,-7.1664,49.12,100,73,3.44,broken clouds
209,Salalah,OM,17.0151,54.0924,77.47,97,100,9.86,overcast clouds
210,San Luis,AR,-33.295,-66.3356,64.78,30,100,11.63,overcast clouds
211,Bambous Virieux,MU,-20.3428,57.7575,67.21,68,55,10.67,broken clouds
212,La Ronge,CA,55.1001,-105.2842,64.62,68,90,24.16,overcast clouds
213,Wilmington,US,34.2257,-77.9447,86.95,65,3,3.0,clear sky
214,Port Blair,IN,11.6667,92.75,81.3,83,100,20.89,overcast clouds
215,Lebu,CL,-37.6167,-73.65,51.76,79,100,18.41,overcast clouds
216,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.46,71,100,3.33,overcast clouds
217,Ovalle,CL,-30.5983,-71.2003,65.84,49,4,4.54,clear sky
218,Wooster,US,40.8051,-81.9351,80.44,59,86,1.16,overcast clouds
219,Bermejo,AR,-32.8833,-68.8,64.31,23,59,13.22,broken clouds
220,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,61.07,82,100,3.71,overcast clouds
221,Sencha,UA,50.2548,33.346,67.17,57,71,4.74,broken clouds
222,Ayagoz,KZ,47.9714,80.4392,65.59,57,57,5.1,broken clouds
223,Makakilo City,US,21.3469,-158.0858,78.69,71,33,20.56,scattered clouds
224,Leningradskiy,RU,69.3833,178.4167,40.46,77,65,9.73,broken clouds
225,Ribeira Grande,PT,38.5167,-28.7,71.96,94,100,9.51,overcast clouds
226,Kandla,IN,23.0333,70.2167,84.45,75,100,13.22,overcast clouds
227,Kumluca,TR,36.3703,30.2869,82.09,64,7,5.08,clear sky
228,Bacolod,PH,10.6667,122.95,79.0,87,100,15.5,overcast clouds
229,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,3.85,light rain
230,Peterhead,GB,57.5058,-1.7981,59.4,87,99,5.68,overcast clouds
231,Gat,IL,31.61,34.7642,81.28,100,26,8.28,scattered clouds
232,Necochea,AR,-38.5473,-58.7368,51.04,83,100,11.27,overcast clouds
233,Dicabisagan,PH,17.0818,122.4157,81.82,77,100,6.38,overcast clouds
234,Isabela,PH,6.7085,121.9711,78.62,90,82,5.06,broken clouds
235,Yacuiba,BO,-22.038,-63.6797,87.62,24,0,10.89,clear sky
236,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,8.05,broken clouds
237,Quatre Cocos,MU,-20.2078,57.7625,67.08,68,56,11.18,broken clouds
238,Maragogi,BR,-9.0122,-35.2225,74.75,77,25,10.89,scattered clouds
239,Babaeski,TR,41.4325,27.0931,67.14,66,0,7.23,clear sky
240,Sao Gabriel,BR,-30.3364,-54.32,65.66,81,0,6.11,clear sky
241,Chauk,MM,20.8833,94.8167,79.12,85,60,13.56,broken clouds
242,Pozhva,RU,59.0912,56.0847,51.3,82,7,5.17,clear sky
