City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Sterling,US,87.35,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
147,Sechura,PE,75.34,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
150,Hohhot,CN,71.33,broken clouds,40.8106,111.6522,Sheraton Hohhot Hotel
151,Tura,IN,76.06,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
153,Dire,ML,74.59,light rain,12.2833,-10.9667,Diré
157,Victoria,HK,85.24,light rain,22.2855,114.1577,Mini Hotel Central
160,Horta,PT,71.29,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
161,Fortuna,US,71.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
163,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
165,Vao,NC,70.83,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
166,Saint-Georges,GD,82.11,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
168,Roma,US,79.83,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
169,Morehead,US,88.14,scattered clouds,37.2711,-87.1764,CCI Express Inn
174,Lagoa,PT,70.27,overcast clouds,39.05,-27.9833,Casa Das Faias
175,Korla,CN,84.34,scattered clouds,41.7597,86.1469,Gulisitan Hotel
176,Hambantota,LK,79.57,overcast clouds,6.1241,81.1185,Bungalow 63
178,Gamba,GA,70.36,scattered clouds,-2.65,10.0,Foundou
180,Nantucket,US,75.99,clear sky,41.2835,-70.0995,Jared Coffin House
182,Esil,KZ,73.53,broken clouds,51.9556,66.4042,Egorkino Hotel
184,San Quintin,MX,75.79,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
185,Warangal,IN,74.44,overcast clouds,18.0,79.5833,Supreme Hotels
186,Kirakira,SB,80.55,broken clouds,-10.4544,161.9205,SanBiz Lodge
187,Cao Bang,VN,75.31,clear sky,22.6667,106.25,khách sạn 88
193,Longyan,CN,73.17,scattered clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
199,Kapaa,US,80.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
202,Bengkulu,ID,74.89,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
203,Da Nang,VN,86.05,broken clouds,16.0678,108.2208,Sun River Hotel
204,Xuanzhou,CN,73.63,moderate rain,30.9525,118.7553,Nanfang Hotel
205,Yaan,NG,72.18,light rain,7.3833,8.5667,Iorjan
207,Kilindoni,TZ,76.77,clear sky,-7.9139,39.6668,Bustani B&B
209,Salalah,OM,77.47,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
213,Wilmington,US,86.95,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
214,Port Blair,IN,81.3,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
218,Wooster,US,80.44,overcast clouds,40.8051,-81.9351,Hilton Garden Inn Wooster
223,Makakilo City,US,78.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
225,Ribeira Grande,PT,71.96,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
226,Kandla,IN,84.45,overcast clouds,23.0333,70.2167,Ramju Chawala
227,Kumluca,TR,82.09,clear sky,36.3703,30.2869,TurkuazKöy
228,Bacolod,PH,79.0,overcast clouds,10.6667,122.95,Planta Hotel & Residences
231,Gat,IL,81.28,scattered clouds,31.61,34.7642,OlusHome
233,Dicabisagan,PH,81.82,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
234,Isabela,PH,78.62,broken clouds,6.7085,121.9711,Isawad Resort
235,Yacuiba,BO,87.62,clear sky,-22.038,-63.6797,Hotel Monumental
238,Maragogi,BR,74.75,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
241,Chauk,MM,79.12,broken clouds,20.8833,94.8167,Bo Khin Guest House
245,Moron De La Frontera,ES,89.01,clear sky,37.1208,-5.454,Hostal Moron
247,San Andres,CO,81.41,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
248,Moyale,KE,73.94,overcast clouds,3.5167,39.0584,La Tahzan Guest House
253,Gbadolite,CD,73.65,overcast clouds,4.2833,21.0167,Zenic
256,Alofi,NU,77.38,clear sky,-19.0595,-169.9187,Taloa Heights
257,Kilakarai,IN,83.98,overcast clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
258,Inirida,CO,79.92,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
261,Bubaque,GW,79.61,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
268,Inhuma,BR,79.83,clear sky,-6.6683,-41.7078,Edifício Bezerra
269,Guerrero Negro,MX,83.59,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
277,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
278,Shahrud,IR,78.76,clear sky,36.4182,54.9763,Royal Hotel
282,Heze,CN,74.41,overcast clouds,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
286,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
293,Nizwa,OM,89.47,overcast clouds,22.9333,57.5333,Orient Apartments
294,Meulaboh,ID,76.93,overcast clouds,4.1363,96.1285,Kost Pria
295,Kailua,US,80.15,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
296,Tabuk,PH,76.68,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
298,Kieta,PG,79.93,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
299,Santa Rosa,PH,80.91,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
301,Jardim,BR,83.37,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
303,Bathsheba,BB,82.44,few clouds,13.2167,-59.5167,Atlantis Hotel
304,Sassandra,CI,73.87,broken clouds,4.95,-6.0833,la terrasse
306,Kulhudhuffushi,MV,81.9,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
309,Marsh Harbour,BS,83.21,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
310,Mayo,US,88.09,clear sky,38.8876,-76.5119,Resorts Resource Group International
313,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
322,Sobrance,SK,71.02,clear sky,48.7445,22.1814,Turistická Ubytovňa Hostinec Bunker
323,Varadero,CU,84.27,clear sky,23.1536,-81.2514,Hotel Tuxpan Varadero
324,Bambanglipuro,ID,75.54,scattered clouds,-7.95,110.2833,Puri Brata
326,Gunjur,GM,77.86,few clouds,13.2019,-16.7339,Kuba Lodge
329,Hornepayne,CA,82.42,broken clouds,49.2138,-84.7705,Jackfish River Inn
331,Macon,US,87.98,clear sky,39.8667,-88.9668,Haworth Cottage
334,Marzuq,YE,70.0,overcast clouds,14.4,46.4667,Al Hujayrah
336,Muroto,JP,77.83,overcast clouds,33.2833,134.15,Oota Ryokan
338,Mizunami,JP,78.46,broken clouds,35.3667,137.25,Business Mizunami Plaza Hotel
344,Fort Abbas,PK,87.87,overcast clouds,29.1925,72.8536,AsAd's House
345,Fairbanks,US,73.22,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
348,Ouargaye,BF,82.06,light rain,11.5033,0.0572,Résidence le Cotonnier
350,Kaspiysk,RU,77.23,scattered clouds,42.8816,47.6392,Alima Hostel
352,Kaka,TM,89.13,clear sky,37.3482,59.6143,Kaakhka
356,Golfito,CR,80.04,overcast clouds,8.639,-83.166,Banana Bay Marina
361,Bentiu,SS,76.37,overcast clouds,9.2333,29.8333,Mandela hôtel
362,Izvestkovyy,RU,71.01,clear sky,48.9833,131.55,Izvestkovyy
363,Sarangani,PH,83.88,broken clouds,5.4033,125.4636,Ballistic Islet
365,Chapais,CA,77.04,broken clouds,49.7834,-74.8492,Hôtel Opémiska
371,Correntina,BR,75.76,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
376,Axim,GH,75.11,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
379,Labuhan,ID,75.96,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
380,Kavieng,PG,82.17,light rain,-2.5744,150.7967,Nusa Island Retreat
381,Naqadeh,IR,77.65,clear sky,36.9553,45.388,اینترنت ترکان نت
387,Tupelo,US,84.97,scattered clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
388,Grand-Santi,GF,80.71,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
390,Fukue,JP,79.63,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
392,Paraiso,CR,74.16,light rain,9.8383,-83.8656,Rinconcito Verde
393,Erenhot,CN,78.69,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
394,Sal Rei,CV,75.76,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
396,Timmins,CA,79.81,clear sky,48.4669,-81.3331,The Senator Hotel & Conference Centre
397,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
402,Jalu,LY,81.77,clear sky,29.0331,21.5482,صاحبة الفخامة
406,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
407,Bajil,YE,85.82,overcast clouds,15.0584,43.2851,فندق حضرموت
408,Xianshuigu,CN,77.0,mist,38.985,117.3828,Guangchuan Hotel
409,Samarai,PG,80.08,broken clouds,-10.6167,150.6667,Nuli Sapi
411,Kloulklubed,PW,85.15,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
413,Quelimane,MZ,71.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
414,Eureka,US,72.12,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
415,Mabaruma,GY,81.63,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
416,Praia Da Vitoria,PT,75.45,broken clouds,38.7333,-27.0667,Hotel Branco I
418,Athens,GR,80.19,clear sky,37.9795,23.7162,Novotel Athenes
423,Waingapu,ID,70.34,clear sky,-9.6567,120.2641,Pondok Wisata Elim
426,Shubarkuduk,KZ,70.12,scattered clouds,49.1447,56.4872,Sirius
430,Adre,TD,76.82,scattered clouds,13.4667,22.2,Adre
431,Posse,BR,74.97,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
434,Valguarnera Caropepe,IT,75.31,clear sky,37.4955,14.3888,B&B Panoramic
435,Venado Tuerto,AR,73.76,overcast clouds,-33.7456,-61.9688,Hotel - Miro Park
438,Nyaunglebin,MM,75.04,overcast clouds,17.95,96.7333,Royal Motel
440,Lewiston,US,76.71,light rain,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
442,Aden,YE,86.5,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
447,Taua,BR,81.48,clear sky,-5.9667,-40.3,FAZENDA IPARANA - Maria Luiza Uchôa Castelo
448,Lazaro Cardenas,MX,87.06,overcast clouds,17.9583,-102.2,quinta antigua
451,Gorele,TR,74.64,clear sky,41.0308,39.0031,Görele Öğretmenevi
452,Isangel,VU,77.54,clear sky,-19.55,169.2667,Tanna Lodge
456,Alacranes,CU,89.47,clear sky,22.7675,-81.5675,Hotel Union de Reyes
457,Thiers,FR,79.97,broken clouds,45.8333,3.5,Logis Hôtel Eliotel
458,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
459,Sao Jose Da Coroa Grande,BR,75.0,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
461,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
462,Ribeira Brava,PT,74.01,clear sky,32.65,-17.0667,Hotel do Campo
465,The Valley,AI,85.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
467,Bud,US,87.21,few clouds,39.447,-86.1758,Ted McQuinn Trust
468,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
474,Kupang,ID,70.83,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
475,Neiafu,TO,78.44,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
476,Aneho,TG,76.37,scattered clouds,6.2333,1.6,Hotel La Linette
482,Sao Gabriel Da Cachoeira,BR,78.06,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
484,Harper,LR,75.88,overcast clouds,4.375,-7.7169,Screensaver
486,Ranong,TH,80.76,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
487,Padang,ID,77.18,overcast clouds,-0.9492,100.3543,Mercure Padang
488,Ullal,IN,79.75,light rain,12.8,74.85,AK INTERNATIONAL LODGE
489,Kralendijk,BQ,81.27,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
490,Rockland,US,83.73,broken clouds,41.1668,-74.0496,National Camp Association
491,Mandapam,IN,83.95,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
492,Ambagarh Chauki,IN,74.75,heavy intensity rain,20.7833,80.7167,Hunesh kunjam home ....
495,Shunyi,CN,76.84,few clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
496,Celestun,MX,86.72,scattered clouds,20.8667,-90.4,Posada Lilia
497,Saint-Maximin-La-Sainte-Baume,FR,77.27,scattered clouds,43.4521,5.8622,Hôtel Le Couvent Royal Saint Maximin
498,Ammon,US,84.7,clear sky,43.4696,-111.9666,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
501,Barra Patuca,HN,83.95,overcast clouds,15.8,-84.2833,Barra Patuca
505,Jishou,CN,75.13,overcast clouds,28.3167,109.7167,7 Days Inn
506,Nisia Floresta,BR,75.81,few clouds,-6.0911,-35.2086,Rancho Crepusculo
508,Kushikino,JP,77.79,overcast clouds,31.7167,130.2667,Tajiri Inn
510,Izumo,JP,75.22,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
511,Morwa,IN,78.67,broken clouds,22.9,73.8333,mahakali maa hotel
513,Waddan,LY,80.82,clear sky,29.1614,16.139,محل الشريف محمد العايب
515,Road Town,VG,85.19,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
517,Buriti Alegre,BR,71.65,few clouds,-18.14,-49.0403,Andrey Hotel Churrascaria
518,Cabedelo,BR,75.63,few clouds,-6.9811,-34.8339,Hotel Pigalle
526,Havelock,US,85.98,clear sky,34.8791,-76.9013,Sherwood Motel
